Epno,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken%,Equity_Asked%,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken%,Namita_Amount_Invested,Namita_Equity_Taken%,Anupam_Amount_Invested,Anupam_Equity_Taken%,Vineeta_Amount_Invested,Vineeta_Equity_Taken%,Aman_Amount_Invested,Aman_Equity_Taken%,Peyush_Amount_Invested,Peyush_Equity_Taken%,Ghazal_Amount_Invested,Ghazal_Equity_Taken%,Total_investors,Partners,,,,,,,,,,
27,Insurance Samadhan,2.00,1.00,Noida,Insurance Solutions,Finance,?1 Crore for 4% Equity,100.00,100.00,0.00,0.00,4.00,1.00,30-35,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,4.00,0.00,0.00,1.00,Pey,0,,,,,,,,,
28,Humpy A2,2.00,1.00,Pune,Organic Milk Products,Food,?1 Crore for 15% Equity,100.00,100.00,0.00,0.00,15.00,15.00,35-40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,5.00,0.00,0.00,33.33,5.00,33.33,5.00,3.00,Gha-Pey-Vin,1,,,,,,,,,
28,Kunafa World,1.00,1.00,Bangalore,Kunafa,Food,No Deal,0.00,90.00,0.00,0.00,0.00,5.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
28,Gold Safe Solutions Ind.,2.00,0.00,Mumbai,Anti-Suicidal Fan Rod,Safety,?50 lakhs for 30% Equity,50.00,50.00,0.00,0.00,30.00,5.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,10.00,0.00,0.00,16.60,10.00,16.60,10.00,3.00,Gha-Pey-Vin,1,,,,,,,,,
29,Wakao Foods,1.00,0.00,Goa,Jackfruit Products,Food,?75 lakhs for 21% Equity,75.00,75.00,0.00,0.00,21.00,5.00,30-35,1.00,0.00,0.00,25.00,7.00,0.00,0.00,25.00,7.00,0.00,0.00,0.00,0.00,25.00,7.00,3.00,Gha-Nam-Vin,0,,,,,,,,,
29,PDD Falcon,1.00,1.00,Kaithal,Stainless Steel Items,Lifestyle,No Deal,0.00,75.00,0.00,0.00,0.00,3.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
29,PlayBox TV,2.00,0.00,Mumbai,Streaming Platform,Lifestyle,No Deal,0.00,100.00,0.00,0.00,0.00,3.50,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
30,Sippline Drinking Shields,1.00,0.00,Pune,Portable Glass Attachment,Lifestyle,No Deal,0.00,75.00,0.00,0.00,0.00,15.00,30-35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
30,Kabaddi Adda,2.00,1.00,Mumbai,Kabaddi Adda,Entertainment,?80 lakhs for 6% Equity,80.00,80.00,0.00,0.00,6.00,1.00,35-40,3.00,0.00,0.00,40.00,3.00,0.00,0.00,40.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Nam-Vin,0,,,,,,,,,
30,Shades of Spring,1.00,1.00,Bangalore,Flowers,Lifestyle,No Deal,0.00,300.00,0.00,0.00,0.00,1.00,30-35,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
30,Scholify,1.00,0.00,Bangalore,Scholarship Platform,Education,No Deal,0.00,50.00,0.00,0.00,0.00,7.50,25-30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0,,,,,,,,,
,,136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
